,fr_mc.csv,fr_mc.csv,fr_rg.csv,fr_rg.csv,fr_simlex.csv,fr_simlex.csv,fr_ws353.csv,fr_ws353.csv,multi_simlex.csv,multi_simlex.csv,fr_all.csv,fr_all.csv
1950.txt,0.4551205400762253,26,0.7134757287789694,47,0.2111438591489684,753,0.4593722574481312,275,0.43880654249484713,1217,0.2646134165775459,1714
1955.txt,0.5040177881835884,26,0.7278677515460624,47,0.22165837732089405,762,0.4889443030710601,280,0.44956358212043374,1252,0.2870170530964786,1756
1960.txt,0.5180372788996855,26,0.6948950287190918,47,0.24010512182503235,776,0.478729637210537,288,0.44754678806597586,1290,0.2949402625999559,1808
1965.txt,0.5231572204560296,24,0.6845139968733858,47,0.22119332855034118,768,0.47309636790710397,290,0.43759634651498075,1258,0.2849634943033105,1777
1970.txt,0.5401174295979957,24,0.6641215981232128,43,0.2099131453891634,740,0.47090565878187884,294,0.42298654602288294,1223,0.29045511041750643,1733
1975.txt,0.45618613820313814,24,0.7287860112910631,42,0.23746733822789798,747,0.43236759669300273,292,0.4321446067873348,1209,0.2967965284529013,1720
1980.txt,0.5891605488740318,26,0.6733048890398768,47,0.22820874105323427,776,0.451372681946731,304,0.4088411497151644,1284,0.28810601403761044,1811
1985.txt,0.45862597557839224,27,0.5843165078710025,46,0.24225808304228977,785,0.44254194384742296,309,0.4077683357305108,1340,0.29411376116263616,1877
1990.txt,0.37282444486099664,27,0.6401362397863979,46,0.24915782421399066,803,0.44421444054116344,313,0.42284307935805804,1363,0.3051478534183836,1910
1995.txt,0.22436373306640967,23,0.6175733992966439,41,0.2372058711069095,759,0.45009022515448555,303,0.41367905680774764,1261,0.3012668968122824,1784
