,0,1,2,3,4,5,6,7
millions,0.68,0.393,0.399,0.478,0.586,0.762,0.834,0.898
autres,0.123,0.236,0.402,0.512,0.59,0.686,0.858,0.898
jusqu,0.342,0.421,0.565,0.73,0.912,0.805,0.953,0.898
ainsi,0.91,0.568,0.579,0.62,0.637,0.712,0.814,0.999
cours,0.143,0.244,0.396,0.445,0.573,0.728,0.788,0.949
faire,0.123,0.812,0.821,0.776,0.77,0.759,0.814,0.898
leurs,0.671,0.533,0.551,0.523,0.614,0.678,0.829,0.898
depuis,0.458,0.459,0.681,0.896,0.806,0.717,0.872,0.907
trois,0.717,0.517,0.484,0.465,0.571,0.65,0.787,0.975
président,0.239,0.382,0.544,0.754,0.686,0.694,0.787,0.898
autre,0.895,0.683,0.712,0.67,0.582,0.73,0.814,0.898
mois,0.451,0.375,0.619,0.636,0.873,0.891,0.816,0.92
francs,0.786,0.634,0.66,0.605,0.654,0.863,0.843,0.898
rue,0.531,0.296,0.538,0.617,0.734,0.758,0.949,0.971
prix,0.458,0.408,0.454,0.731,0.617,0.709,0.846,0.935
monde,0.689,0.821,0.823,0.991,0.961,0.852,0.864,0.898
peu,0.681,0.475,0.562,0.759,0.802,0.704,0.788,0.976
france,0.453,0.408,0.67,0.666,0.578,0.682,0.788,0.898
sera,0.428,0.4,0.818,0.72,0.759,0.82,0.816,0.903
fin,0.233,0.236,0.365,0.462,0.523,0.706,0.789,0.898
temps,0.671,0.45,0.38,0.488,0.562,0.683,0.837,0.898
u,0.143,0.699,0.886,0.832,0.752,0.915,0.955,0.898
lausanne,0.351,0.273,0.375,0.553,0.598,0.707,0.802,0.898
notre,0.856,0.599,0.586,0.524,0.614,0.681,0.787,0.898
moins,0.233,0.239,0.326,0.375,0.447,0.582,0.824,0.913
vous,0.123,0.24,0.338,0.503,0.601,0.791,0.894,0.898
année,0.233,0.236,0.407,0.759,0.847,0.875,0.866,0.898
sous,0.242,0.467,0.386,0.516,0.578,0.672,0.829,0.898
grand,0.233,0.245,0.414,0.529,0.623,0.672,0.827,0.898
peut,0.895,0.759,0.931,0.848,0.713,0.761,0.845,0.898
etat,0.233,0.237,0.344,0.483,0.567,0.677,0.82,0.898
