,0,1,2,3,4,5,6,7
résultats,0.873,0.911,0.874,0.77,0.782,0.9,0.723,0.881
aide,0.568,0.424,0.226,0.035,0.007,0.023,0.22,0.42
devrait,0.873,0.985,0.983,0.992,0.993,0.973,0.964,0.881
ma,0.713,0.815,0.681,0.712,0.571,0.24,0.083,0.333
air,0.452,0.449,0.791,0.807,0.976,0.884,0.946,0.881
jeune,0.873,0.886,0.699,0.402,0.48,0.684,0.749,0.534
département,0.113,0.8,0.696,0.577,0.602,0.631,0.826,0.881
bonne,0.211,0.241,0.038,0.212,0.25,0.68,0.731,0.764
tête,0.657,0.601,0.48,0.404,0.777,0.941,0.703,0.432
avril,0.873,0.834,0.711,0.475,0.768,0.871,0.485,0.664
italie,0.535,0.257,0.166,0.287,0.337,0.415,0.643,0.881
passé,0.229,0.703,0.914,0.706,0.589,0.396,0.541,0.862
mesure,0.556,0.753,0.655,0.704,0.858,0.662,0.15,0.0
exemple,0.667,0.912,0.988,0.92,0.845,0.832,0.874,0.651
fort,0.258,0.06,0.037,0.062,0.098,0.157,0.546,0.881
terme,0.224,0.488,0.569,0.746,0.931,0.978,0.964,0.881
séance,0.568,0.301,0.536,0.505,0.899,0.647,0.817,0.668
laquelle,0.669,0.892,0.802,0.856,0.993,0.985,0.858,0.779
mesures,0.0,0.037,0.0,0.005,0.14,0.492,0.54,0.546
actions,0.757,0.799,0.612,0.874,0.959,0.832,0.508,0.416
sens,0.214,0.804,0.502,0.307,0.25,0.306,0.579,0.43
beau,0.413,0.283,0.371,0.436,0.668,0.985,0.964,0.881
internationale,0.634,0.361,0.055,0.116,0.439,0.737,0.566,0.548
novembre,0.214,0.286,0.042,0.0,0.006,0.053,0.156,0.479
no,0.652,0.936,0.795,0.598,0.43,0.259,0.08,0.0
agit,0.873,0.844,0.594,0.676,0.674,0.424,0.552,0.881
ancien,0.602,0.482,0.875,0.955,0.891,0.913,0.753,0.881
environ,0.667,0.949,0.995,0.776,0.746,0.415,0.506,0.335
assez,0.873,0.954,0.97,0.947,0.988,0.969,0.965,0.766
doute,0.335,0.523,0.642,0.916,0.978,0.985,0.965,0.881
scène,0.222,0.387,0.384,0.682,0.959,0.967,0.759,0.461
avons,0.548,0.566,0.801,0.928,0.776,0.755,0.957,0.909
nord,0.762,0.252,0.177,0.062,0.044,0.018,0.067,0.371
of,0.206,0.068,0.0,0.008,0.294,0.538,0.388,0.329
page,0.773,0.796,0.556,0.452,0.551,0.73,0.732,0.882
services,0.526,0.296,0.202,0.209,0.134,0.488,0.912,0.881
pourtant,0.649,0.54,0.664,0.453,0.34,0.058,0.0,0.0
affaire,0.762,0.86,0.835,0.447,0.465,0.184,0.274,0.667
mettre,0.649,0.95,0.937,0.992,0.995,0.987,0.964,0.881
juillet,0.229,0.606,0.425,0.194,0.531,0.608,0.708,0.928
soviétique,0.212,0.382,0.339,0.106,0.023,0.0,0.003,0.0
possible,0.649,0.252,0.208,0.157,0.027,0.034,0.068,0.024
équipe,0.664,0.312,0.658,0.775,0.799,0.865,0.462,0.665
administration,0.209,0.761,0.925,0.958,0.87,0.816,0.892,0.881
ayant,0.437,0.514,0.624,0.765,0.474,0.15,0.359,0.667
deuxième,0.386,0.625,0.861,0.966,0.906,0.92,0.973,0.881
route,0.126,0.065,0.0,0.208,0.623,0.631,0.506,0.444
conditions,0.0,0.0,0.02,0.071,0.447,0.362,0.548,0.217
donné,0.873,0.907,0.966,0.992,0.989,0.965,0.891,0.881
dollar,0.873,0.972,0.987,0.972,0.966,0.992,0.96,0.881
grandes,0.609,0.526,0.769,0.943,0.906,0.939,0.635,0.839
aucun,0.873,0.981,0.987,0.984,0.938,0.703,0.792,0.756
nombreux,0.553,0.917,0.818,0.854,0.967,0.934,0.888,0.889
radio,0.524,0.283,0.304,0.52,0.677,0.758,0.901,0.96
armée,0.873,0.975,0.987,0.977,0.973,0.906,0.964,0.766
uvres,0.757,0.551,0.586,0.921,0.98,0.9,0.897,0.881
ouverture,0.113,0.186,0.135,0.079,0.085,0.232,0.2,0.881
fédérale,0.873,0.858,0.644,0.441,0.712,0.72,0.687,0.881
prochain,0.595,0.594,0.837,0.891,0.957,0.985,0.964,0.766
travaux,0.216,0.343,0.699,0.933,0.853,0.507,0.564,0.383
organisation,0.873,0.936,0.501,0.152,0.202,0.378,0.324,0.432
outre,0.571,0.92,0.974,0.964,0.988,0.966,0.971,0.881
entreprises,0.231,0.611,0.749,0.747,0.86,0.445,0.117,0.461
dix,0.299,0.034,0.038,0.032,0.174,0.6,0.375,0.375
baisse,0.335,0.355,0.326,0.344,0.678,0.985,0.988,0.881
int,0.332,0.549,0.723,0.801,0.792,0.855,0.991,0.89
semble,0.646,0.628,0.485,0.827,0.784,0.544,0.724,0.881
augmentation,0.762,0.527,0.386,0.475,0.522,0.663,0.845,0.881
autorités,0.659,0.513,0.839,0.96,0.932,0.78,0.867,0.881
maintenant,0.618,0.724,0.889,0.711,0.595,0.762,0.908,0.881
août,0.433,0.389,0.065,0.005,0.194,0.247,0.159,0.329
occasion,0.873,0.972,0.866,0.679,0.627,0.394,0.614,0.881
construction,0.344,0.859,0.879,0.83,0.986,0.849,0.744,0.79
manière,0.642,0.605,0.519,0.432,0.244,0.658,0.845,0.916
in,0.268,0.168,0.026,0.02,0.164,0.35,0.656,0.83
succès,0.55,0.386,0.521,0.761,0.936,0.648,0.456,0.566
nouveaux,0.873,0.841,0.861,0.875,0.857,0.917,0.713,0.104
us,0.224,0.443,0.412,0.46,0.629,0.966,0.882,0.881
niveau,0.669,0.868,0.891,0.688,0.924,0.733,0.643,0.713
valeur,0.531,0.125,0.071,0.073,0.084,0.176,0.366,0.767
the,0.753,0.903,0.676,0.228,0.362,0.643,0.604,0.679
es,0.337,0.18,0.16,0.028,0.128,0.242,0.64,0.766
libre,0.0,0.0,0.0,0.016,0.003,0.024,0.288,0.443
produits,0.108,0.0,0.088,0.097,0.062,0.204,0.656,0.318
concert,0.386,0.42,0.686,0.891,0.986,0.917,0.708,0.461
crédit,0.46,0.767,0.794,0.564,0.784,0.398,0.765,0.667
annoncé,0.873,0.972,0.933,0.91,0.837,0.948,0.964,0.881
politiques,0.775,0.646,0.934,0.947,0.854,0.86,0.952,0.651
font,0.657,0.251,0.11,0.189,0.416,0.765,0.769,0.767
française,0.762,0.644,0.623,0.374,0.231,0.018,0.034,0.219
genevois,0.916,0.884,0.967,0.96,0.977,0.887,0.656,0.899
étranger,0.054,0.011,0.007,0.016,0.054,0.01,0.199,0.332
conseiller,0.661,0.55,0.551,0.93,0.983,0.914,0.834,0.451
volume,0.0,0.07,0.014,0.028,0.2,0.24,0.651,0.66
nuageux,0.0,0.015,0.177,0.165,0.532,0.741,0.719,0.663
système,0.111,0.222,0.28,0.189,0.488,0.886,0.898,0.547
mon,0.12,0.319,0.263,0.518,0.485,0.141,0.162,0.0
afin,0.873,0.972,0.933,0.791,0.654,0.438,0.679,0.881
new,0.44,0.662,0.933,0.927,0.856,0.831,0.964,0.881
mal,0.371,0.166,0.124,0.233,0.453,0.182,0.618,0.782
secrétaire,0.32,0.225,0.511,0.212,0.059,0.054,0.034,0.232
étrangères,0.666,0.423,0.249,0.248,0.662,0.745,0.901,0.969
base,0.556,0.916,0.989,0.98,0.94,0.846,0.936,0.881
aucune,0.873,0.982,0.938,0.951,0.979,0.899,0.888,0.881
femme,0.384,0.327,0.099,0.0,0.0,0.037,0.025,0.214
paix,0.451,0.58,0.765,0.396,0.755,0.882,0.835,0.766
total,0.098,0.139,0.015,0.018,0.003,0.006,0.083,0.217
américains,0.571,0.807,0.959,0.922,0.986,0.985,0.964,0.91
savoir,0.554,0.849,0.899,0.846,0.808,0.435,0.118,0.0
seule,0.76,0.865,0.37,0.153,0.108,0.187,0.225,0.0
défense,0.558,0.8,0.294,0.344,0.463,0.179,0.114,0.563
américaine,0.669,0.917,0.919,0.891,0.974,0.988,0.94,0.956
durant,0.757,0.882,0.834,0.994,0.993,0.96,0.945,0.959
parce,0.873,0.829,0.886,0.755,0.908,0.914,0.908,0.881
militaire,0.753,0.687,0.419,0.301,0.354,0.849,0.931,0.881
publique,0.204,0.272,0.566,0.535,0.729,0.849,0.784,0.881
commerce,0.654,0.837,0.55,0.471,0.362,0.415,0.207,0.662
rôle,0.666,0.418,0.181,0.186,0.568,0.517,0.853,0.881
peuvent,0.457,0.353,0.506,0.172,0.263,0.216,0.447,0.766
peut-être,0.765,0.972,0.967,0.984,0.924,0.879,0.957,0.881
haut,0.344,0.452,0.506,0.71,0.959,0.872,0.954,0.881
long,0.113,0.152,0.238,0.24,0.373,0.466,0.939,0.881
abord,0.595,0.724,0.597,0.52,0.35,0.158,0.019,0.115
galerie,0.76,0.25,0.2,0.182,0.13,0.143,0.033,0.0
étant,0.873,0.946,0.638,0.642,0.821,0.892,0.855,0.881
malgré,0.546,0.613,0.812,0.944,0.717,0.621,0.307,0.0
sécurité,0.484,0.6,0.844,0.728,0.775,0.985,0.94,0.881
can,0.873,0.98,0.967,0.974,0.929,0.906,0.969,0.896
orchestre,0.553,0.917,0.931,0.973,0.993,0.985,0.881,0.779
état,0.664,0.446,0.861,0.75,0.765,0.758,0.859,0.966
siècle,0.423,0.797,0.468,0.324,0.202,0.349,0.698,0.764
sujet,0.452,0.38,0.427,0.704,0.896,0.708,0.748,0.881
mouvement,0.973,0.936,0.828,0.791,0.809,0.966,0.956,0.649
février,0.0,0.551,0.573,0.407,0.714,0.439,0.215,0.229
chambre,0.12,0.241,0.394,0.811,0.864,0.566,0.618,0.563
ouvert,0.291,0.676,0.832,0.855,0.883,0.75,0.753,0.881
eglise,0.422,0.254,0.057,0.158,0.057,0.012,0.11,0.332
bourse,0.224,0.455,0.551,0.727,0.956,0.94,0.964,0.952
forces,0.548,0.561,0.503,0.866,0.962,0.811,0.51,0.23
forme,0.443,0.395,0.685,0.854,0.965,0.976,0.891,0.881
domaine,0.873,0.799,0.529,0.367,0.641,0.783,0.467,0.699
donner,0.651,0.608,0.357,0.08,0.101,0.05,0.185,0.649
entreprise,0.111,0.356,0.269,0.529,0.508,0.516,0.9,0.545
décidé,0.873,0.952,0.646,0.462,0.124,0.097,0.138,0.333
région,0.042,0.16,0.088,0.264,0.657,0.843,0.653,0.329
journée,0.23,0.066,0.011,0.234,0.497,0.317,0.584,0.447
etats,0.744,0.604,0.353,0.084,0.057,0.02,0.221,0.353
nations,0.661,0.64,0.429,0.678,0.962,0.985,0.881,0.779
femmes,0.224,0.308,0.565,0.55,0.894,0.952,0.859,0.881
certaines,0.873,0.972,0.859,0.851,0.933,0.824,0.72,0.665
information,0.0,0.006,0.021,0.058,0.156,0.07,0.329,0.564
reuter,0.327,0.405,0.77,0.897,0.755,0.511,0.189,0.117
force,0.556,0.843,0.425,0.293,0.65,0.492,0.209,0.229
ensuite,0.757,0.794,0.652,0.956,0.968,0.876,0.556,0.292
titres,0.0,0.037,0.008,0.0,0.019,0.035,0.097,0.431
derniers,0.873,0.966,0.921,0.741,0.685,0.68,0.893,0.881
franc,0.551,0.923,0.972,0.999,0.98,0.985,0.968,0.766
robert,0.312,0.415,0.448,0.16,0.035,0.168,0.395,0.652
sait,0.583,0.918,0.722,0.848,0.965,0.956,0.888,0.881
vu,0.0,0.0,0.007,0.07,0.191,0.25,0.101,0.444
michel,0.765,0.972,0.975,0.798,0.433,0.356,0.239,0.218
magazine,0.126,0.722,0.903,0.775,0.663,0.738,0.78,0.33
telle,0.55,0.511,0.219,0.648,0.845,0.822,0.687,0.764
chiffre,0.746,0.959,0.906,0.824,0.768,0.754,0.807,0.881
etc,0.422,0.387,0.372,0.483,0.077,0.015,0.018,0.182
période,0.36,0.581,0.541,0.335,0.066,0.158,0.219,0.651
secteur,0.873,0.977,0.987,0.972,0.98,0.907,0.919,0.881
cause,0.113,0.102,0.234,0.615,0.84,0.822,0.841,0.881
offre,0.009,0.073,0.023,0.047,0.375,0.241,0.377,0.248
cadre,0.873,0.972,0.876,0.842,0.871,0.978,0.964,0.939
indice,0.541,0.616,0.437,0.742,0.865,0.959,0.964,0.881
pourquoi,0.48,0.77,0.556,0.302,0.635,0.761,0.872,0.881
esprit,0.216,0.421,0.577,0.837,0.388,0.168,0.402,0.217
culte,0.529,0.824,0.922,0.982,0.998,0.964,0.929,0.881
revanche,0.94,0.705,0.777,0.513,0.168,0.077,0.259,0.484
comment,0.34,0.433,0.778,0.492,0.581,0.609,0.407,0.826
après-midi,0.521,0.096,0.043,0.018,0.033,0.078,0.416,0.65
sept,0.544,0.308,0.061,0.034,0.089,0.413,0.231,0.182
premiers,0.945,0.972,0.859,0.946,0.935,0.893,0.739,0.448
famille,0.206,0.04,0.0,0.0,0.059,0.032,0.0,0.115
initiative,0.659,0.754,0.922,0.982,0.993,0.976,0.862,0.779
européenne,0.642,0.54,0.501,0.597,0.654,0.851,0.989,0.881
peuple,0.873,0.839,0.626,0.691,0.609,0.344,0.246,0.104
capital,0.415,0.084,0.062,0.281,0.24,0.303,0.685,0.81
confédération,0.543,0.883,0.695,0.514,0.215,0.072,0.225,0.435
veut,0.646,0.579,0.662,0.82,0.877,0.611,0.915,0.881
votre,0.0,0.055,0.0,0.042,0.182,0.332,0.36,0.546
ve,0.795,0.755,0.693,0.762,0.604,0.528,0.451,0.922
trouve,0.794,0.805,0.295,0.222,0.257,0.509,0.612,0.764
troisième,0.43,0.29,0.155,0.436,0.808,0.899,0.801,0.881
recherche,0.681,0.921,0.849,0.796,0.658,0.366,0.542,0.0
argent,0.455,0.725,0.81,0.929,0.993,0.973,0.964,0.942
inc,0.416,0.539,0.817,0.799,0.982,0.922,0.945,0.922
personne,0.923,0.972,0.883,0.837,0.842,0.848,0.715,0.881
moyens,0.222,0.343,0.408,0.766,0.921,0.974,0.847,0.56
formation,0.442,0.697,0.432,0.752,0.829,0.806,0.952,0.926
terre,0.642,0.181,0.2,0.083,0.092,0.21,0.622,0.652
tandis,0.06,0.095,0.066,0.011,0.046,0.061,0.266,0.545
population,0.873,0.895,0.637,0.827,0.878,0.822,0.586,0.662
rencontre,0.392,0.086,0.289,0.541,0.862,0.888,0.909,0.767
valeurs,0.765,0.972,0.945,0.911,0.954,0.804,0.671,0.782
atteint,0.814,0.588,0.645,0.67,0.981,0.931,0.661,0.779
dernières,0.455,0.902,0.933,0.952,0.997,0.973,0.83,0.633
professeur,0.421,0.654,0.299,0.208,0.067,0.065,0.219,0.0
doivent,0.445,0.804,0.979,0.946,0.678,0.409,0.547,0.667
propos,0.93,0.926,0.78,0.543,0.611,0.568,0.24,0.485
gauche,0.0,0.099,0.073,0.02,0.139,0.164,0.432,0.662
dû,0.548,0.473,0.752,0.957,0.869,0.857,0.947,0.933
avenir,0.229,0.618,0.875,0.481,0.492,0.64,0.851,0.766
divers,0.113,0.08,0.039,0.136,0.181,0.141,0.305,0.881
vaud,0.113,0.268,0.365,0.609,0.661,0.665,0.778,0.881
création,0.762,0.57,0.502,0.574,0.172,0.022,0.158,0.375
présence,0.556,0.62,0.931,0.902,0.849,0.801,0.964,0.881
compagnie,0.873,0.972,0.955,0.949,0.846,0.608,0.418,0.333
certain,0.551,0.815,0.895,0.992,0.989,0.925,0.875,0.881
but,0.43,0.244,0.075,0.276,0.708,0.833,0.901,0.706
jacques,0.646,0.479,0.42,0.747,0.512,0.558,0.506,0.881
urss,0.0,0.216,0.141,0.051,0.044,0.003,0.0,0.0
majorité,0.229,0.299,0.397,0.131,0.291,0.224,0.64,0.766
position,0.111,0.44,0.253,0.212,0.655,0.877,0.594,0.558
loin,0.194,0.168,0.028,0.205,0.071,0.025,0.083,0.06
sociétés,0.657,0.559,0.369,0.368,0.783,0.951,0.877,0.881
étrangers,0.516,0.68,0.584,0.56,0.452,0.312,0.16,0.724
office,0.873,0.946,0.927,0.903,0.993,0.985,0.977,0.881
façon,0.762,0.775,0.711,0.388,0.127,0.256,0.178,0.651
presque,0.757,0.834,0.906,0.993,0.945,0.591,0.651,0.667
eau,0.098,0.152,0.014,0.06,0.427,0.632,0.738,0.66
solution,0.116,0.122,0.076,0.004,0.01,0.073,0.378,0.431
coupe,0.626,0.479,0.379,0.51,0.422,0.049,0.029,0.088
moscou,0.319,0.137,0.037,0.06,0.304,0.544,0.789,0.881
particulièrement,0.445,0.761,0.832,0.638,0.496,0.151,0.179,0.552
petite,0.433,0.191,0.016,0.018,0.096,0.124,0.032,0.0
paul,0.211,0.638,0.405,0.434,0.357,0.313,0.409,0.881
feu,0.256,0.802,0.619,0.514,0.278,0.4,0.591,0.315
droits,0.873,0.976,0.92,0.8,0.913,0.75,0.86,0.881
bas,0.0,0.348,0.204,0.648,0.844,0.837,0.775,0.8
club,0.55,0.482,0.324,0.72,0.87,0.734,0.909,0.899
ait,0.43,0.249,0.141,0.117,0.288,0.546,0.991,0.908
cour,0.113,0.1,0.119,0.148,0.444,0.649,0.91,0.881
questions,0.39,0.114,0.011,0.013,0.069,0.121,0.333,0.699
port,0.046,0.155,0.093,0.293,0.514,0.21,0.427,0.777
république,0.534,0.801,0.662,0.44,0.166,0.318,0.259,0.766
réunion,0.873,0.944,0.931,0.988,0.993,0.976,0.921,0.881
washington,0.329,0.29,0.127,0.202,0.161,0.077,0.01,0.115
communiqué,0.777,0.779,0.833,0.913,0.993,0.985,0.964,0.881
peine,0.873,0.944,0.987,0.92,0.97,0.966,0.975,0.936
retour,0.873,0.427,0.195,0.199,0.119,0.241,0.143,0.347
km,0.642,0.543,0.135,0.108,0.178,0.419,0.635,0.764
main,0.108,0.004,0.038,0.016,0.054,0.039,0.229,0.548
faveur,0.12,0.232,0.147,0.333,0.358,0.108,0.026,0.0
lorsque,0.666,0.589,0.236,0.381,0.66,0.365,0.353,0.665
auteur,0.873,0.907,0.621,0.349,0.457,0.248,0.387,0.104
mètres,0.108,0.001,0.032,0.251,0.553,0.706,0.723,0.663
reprise,0.44,0.244,0.36,0.264,0.224,0.017,0.243,0.389
york,0.873,0.954,0.923,0.906,0.754,0.835,0.936,0.881
participation,0.231,0.276,0.247,0.596,0.719,0.454,0.209,0.0
télévision,0.873,0.972,0.968,0.988,0.993,0.976,0.921,0.881
annonce,0.335,0.839,0.838,0.944,0.963,0.985,0.97,0.95
chose,0.807,0.999,0.955,0.882,0.719,0.839,0.915,0.881
q,0.929,0.946,0.903,0.822,0.828,0.781,0.467,0.104
allemand,0.439,0.321,0.12,0.242,0.382,0.327,0.558,0.881
parfois,0.727,0.669,0.914,0.857,0.451,0.271,0.343,0.667
activité,0.224,0.216,0.292,0.469,0.824,0.978,0.964,0.881
relations,0.491,0.706,0.39,0.093,0.154,0.486,0.473,0.649
crise,0.762,0.865,0.793,0.83,0.753,0.678,0.503,0.881
avis,0.108,0.0,0.032,0.3,0.552,0.43,0.459,0.663
matière,0.907,0.897,0.951,0.976,0.993,0.976,0.902,0.881
particulier,0.934,0.972,0.974,0.993,0.994,0.976,0.881,0.565
technique,0.491,0.45,0.43,0.079,0.127,0.246,0.443,0.818
centrale,0.0,0.037,0.001,0.061,0.3,0.69,0.705,0.431
moyen,0.553,0.917,0.901,0.949,0.993,0.973,0.965,0.766
bond,0.332,0.224,0.275,0.665,0.734,0.839,0.934,0.881
devait,0.438,0.205,0.032,0.013,0.062,0.405,0.454,0.65
plutôt,0.873,0.972,0.988,0.986,0.993,0.985,0.964,0.766
économiques,0.146,0.16,0.298,0.228,0.58,0.735,0.264,0.503
gens,0.423,0.667,0.612,0.293,0.091,0.135,0.491,0.651
populaire,0.539,0.438,0.541,0.896,0.843,0.936,0.975,0.966
départ,0.37,0.227,0.102,0.145,0.219,0.619,0.594,0.881
personnel,0.543,0.852,0.813,0.677,0.454,0.42,0.742,0.926
corps,0.317,0.055,0.214,0.631,0.471,0.393,0.764,0.79
université,0.777,0.759,0.62,0.475,0.927,0.914,0.626,0.779
genevoise,0.147,0.01,0.0,0.197,0.252,0.103,0.427,0.447
exercice,0.314,0.483,0.151,0.285,0.1,0.051,0.327,0.511
liberté,0.646,0.501,0.588,0.823,0.73,0.7,0.887,0.881
porte,0.688,0.431,0.081,0.037,0.239,0.25,0.169,0.115
chacun,0.529,0.247,0.041,0.015,0.011,0.105,0.312,0.274
john,0.873,0.947,0.785,0.812,0.838,0.678,0.527,0.881
central,0.325,0.354,0.165,0.061,0.179,0.425,0.394,0.0
élections,0.436,0.883,0.929,0.846,0.683,0.876,0.908,0.885
festival,0.873,0.888,0.945,0.976,0.94,0.965,0.934,0.881
négociations,0.753,0.563,0.459,0.481,0.568,0.921,0.736,0.665
dé,0.576,0.837,0.822,0.471,0.339,0.384,0.03,0.0
é,0.214,0.816,0.417,0.275,0.174,0.244,0.282,0.262
important,0.551,0.741,0.976,0.992,0.993,0.948,0.906,0.565
monsieur,0.43,0.638,0.346,0.068,0.019,0.0,0.0,0.115
anglais,0.55,0.313,0.122,0.344,0.676,0.544,0.807,0.881
âge,0.475,0.294,0.084,0.009,0.036,0.011,0.166,0.162
cantons,0.762,0.791,0.623,0.55,0.396,0.179,0.461,0.782
étude,0.777,0.796,0.521,0.226,0.568,0.735,0.804,0.649
z,0.246,0.824,0.768,0.906,0.765,0.829,0.767,0.892
évolution,0.447,0.59,0.333,0.251,0.322,0.076,0.197,0.735
visite,0.762,0.535,0.316,0.037,0.026,0.018,0.034,0.219
re,0.024,0.077,0.167,0.029,0.044,0.045,0.336,0.102
forte,0.802,0.799,0.55,0.513,0.597,0.254,0.665,0.665
contrôle,0.568,0.424,0.589,0.631,0.866,0.748,0.964,0.766
andré,0.538,0.203,0.13,0.086,0.04,0.006,0.016,0.115
bénéfice,0.984,0.984,0.99,0.947,0.986,0.966,0.964,0.789
choix,0.445,0.64,0.707,0.364,0.253,0.118,0.282,0.766
cinéma,0.322,0.123,0.012,0.0,0.013,0.0,0.057,0.217
st,0.661,0.573,0.649,0.764,0.97,0.985,0.967,0.888
énergie,0.873,0.852,0.856,0.957,0.907,0.751,0.404,0.51
victoire,0.777,0.697,0.881,0.931,0.983,0.873,0.788,0.451
britannique,0.272,0.351,0.222,0.288,0.231,0.445,0.889,0.946
tard,0.873,0.886,0.971,0.867,0.812,0.636,0.611,0.766
difficile,0.873,0.972,0.987,0.934,0.922,0.94,0.701,0.779
vrai,0.654,0.848,0.596,0.368,0.089,0.101,0.476,0.419
donne,0.211,0.74,0.5,0.47,0.414,0.579,0.711,0.881
voie,0.553,0.73,0.895,0.978,0.993,0.976,0.895,0.881
qualité,0.335,0.805,0.886,0.975,0.988,0.985,0.855,0.779
a-t-il,0.76,0.579,0.544,0.35,0.122,0.099,0.025,0.0
fund,0.435,0.36,0.145,0.118,0.248,0.499,0.788,0.903
vaudois,0.873,0.944,0.849,0.929,0.925,0.793,0.43,0.448
date,0.435,0.226,0.151,0.069,0.131,0.105,0.333,0.881
ligne,0.322,0.053,0.049,0.0,0.035,0.022,0.141,0.364
rendre,0.556,0.854,0.983,0.955,0.862,0.759,0.759,0.881
ind,0.113,0.091,0.149,0.552,0.618,0.525,0.797,0.881
sorte,0.526,0.469,0.324,0.585,0.541,0.871,0.964,0.881
seconde,0.69,0.946,0.871,0.954,0.984,0.919,0.659,0.494
bruxelles,0.669,0.952,0.954,0.968,0.993,0.985,0.966,0.881
oil,0.038,0.055,0.06,0.113,0.189,0.507,0.854,0.777
époque,0.615,0.408,0.134,0.205,0.525,0.484,0.096,0.23
quoi,0.448,0.331,0.353,0.142,0.357,0.78,0.547,0.618
hôpital,0.534,0.351,0.17,0.009,0.03,0.016,0.069,0.059
trouver,0.297,0.315,0.077,0.527,0.48,0.345,0.489,0.764
école,0.212,0.315,0.285,0.062,0.002,0.002,0.015,0.115
milieux,0.206,0.09,0.003,0.005,0.018,0.146,0.244,0.546
chemin,0.194,0.137,0.028,0.076,0.01,0.012,0.082,0.332
socialiste,0.762,0.792,0.897,0.964,0.901,0.827,0.999,0.881
estime,0.667,0.949,0.987,0.992,0.978,0.953,0.964,0.881
appel,0.248,0.023,0.0,0.007,0.0,0.012,0.0,0.115
cie,0.757,0.75,0.433,0.7,0.657,0.727,0.822,0.881
intérieur,0.448,0.443,0.648,0.734,0.901,0.943,0.654,0.826
match,0.113,0.456,0.443,0.322,0.345,0.696,0.657,0.881
mondiale,0.341,0.284,0.254,0.73,0.696,0.474,0.443,0.881
second,0.369,0.532,0.354,0.791,0.948,0.88,0.552,0.459
finale,0.661,0.838,0.674,0.931,0.993,0.985,0.855,0.664
auprès,0.509,0.404,0.719,0.93,0.978,0.857,0.92,0.667
grande-bretagne,0.873,0.95,0.504,0.349,0.441,0.704,0.872,0.817
madame,0.514,0.395,0.1,0.025,0.0,0.031,0.07,0.076
importance,0.873,0.968,0.748,0.582,0.624,0.746,0.901,0.764
émission,0.657,0.387,0.13,0.092,0.442,0.689,0.545,0.4
mar,0.667,0.949,0.987,0.992,0.993,0.976,0.968,0.766
longtemps,0.645,0.939,0.773,0.637,0.763,0.921,0.806,0.881
résultat,0.487,0.282,0.332,0.389,0.489,0.425,0.759,0.881
hôtel,0.721,0.947,0.858,0.843,0.707,0.783,0.901,0.881
commune,0.661,0.809,0.556,0.867,0.97,0.864,0.829,0.55
enquête,0.873,0.976,0.96,0.854,0.716,0.773,0.579,0.57
culture,0.762,0.811,0.84,0.559,0.282,0.12,0.092,0.45
petits,0.108,0.006,0.029,0.021,0.092,0.084,0.044,0.0
semaines,0.942,0.884,0.967,0.945,0.967,0.856,0.852,0.881
idée,0.76,0.825,0.738,0.852,0.773,0.32,0.25,0.0
congrès,0.013,0.022,0.002,0.005,0.003,0.021,0.24,0.316
carouge,0.777,0.224,0.26,0.262,0.703,0.803,0.803,0.767
suis,0.113,0.203,0.109,0.366,0.791,0.879,0.801,0.881
nature,0.544,0.295,0.425,0.094,0.102,0.23,0.334,0.652
fi,0.355,0.301,0.06,0.083,0.116,0.065,0.337,0.12
besoin,0.455,0.727,0.74,0.98,0.993,0.964,0.921,0.913
celles,0.533,0.399,0.22,0.386,0.425,0.017,0.011,0.0
simple,0.762,0.753,0.374,0.1,0.098,0.035,0.067,0.321
commun,0.544,0.316,0.039,0.059,0.173,0.207,0.113,0.059
protection,0.935,0.972,0.954,0.912,0.903,0.806,0.832,0.95
afrique,0.216,0.829,0.881,0.85,0.586,0.386,0.461,0.563
lu,0.313,0.162,0.274,0.317,0.136,0.265,0.2,0.881
spectacle,0.505,0.887,0.945,0.898,0.972,0.985,0.964,0.766
plupart,0.661,0.744,0.576,0.832,0.954,0.987,0.964,0.881
saison,0.649,0.882,0.84,0.966,0.978,0.888,0.558,0.333
fond,0.113,0.236,0.166,0.18,0.308,0.462,0.85,0.881
armes,0.098,0.081,0.0,0.037,0.127,0.169,0.108,0.546
permis,0.873,0.911,0.976,0.923,0.935,0.916,0.964,0.766
general,0.0,0.059,0.012,0.06,0.201,0.157,0.602,0.431
produit,0.0,0.036,0.069,0.123,0.493,0.237,0.409,0.564
partir,0.214,0.167,0.032,0.0,0.0,0.048,0.09,0.405
espagne,0.307,0.484,0.316,0.691,0.702,0.842,0.88,0.95
prise,0.154,0.004,0.02,0.004,0.003,0.012,0.166,0.316
cv,0.0,0.037,0.012,0.005,0.017,0.011,0.13,0.109
concerne,0.452,0.386,0.755,0.872,0.96,0.888,0.528,0.68
it,0.873,0.946,0.854,0.641,0.867,0.931,0.912,0.886
parlement,0.757,0.401,0.515,0.885,0.888,0.869,0.805,0.881
source,0.538,0.924,0.805,0.851,0.88,0.641,0.349,0.563
georges,0.306,0.566,0.726,0.801,0.426,0.114,0.118,0.267
ouverte,0.122,0.26,0.036,0.008,0.073,0.351,0.438,0.545
opposition,0.113,0.574,0.553,0.602,0.737,0.89,0.906,0.951
campagne,0.804,0.972,0.871,0.778,0.537,0.449,0.56,0.649
nombreuses,0.873,0.972,0.928,0.776,0.913,0.926,0.881,0.881
