,0,1,2,3,4,5,6,7
millions,0.0,0.267,0.419,0.203,0.093,0.046,0.217,0.547
autres,0.113,0.478,0.861,0.758,0.873,0.942,0.913,0.969
jusqu,0.765,0.972,0.987,0.995,0.997,0.978,0.98,0.881
ainsi,0.734,0.943,0.968,0.974,0.993,0.985,0.967,0.834
cours,0.599,0.821,0.699,0.562,0.562,0.818,0.884,0.881
faire,0.667,0.949,0.987,0.985,0.994,0.951,0.951,0.958
leurs,0.661,0.775,0.696,0.664,0.654,0.897,0.964,0.958
depuis,0.873,0.946,0.948,0.945,0.993,0.965,0.945,0.881
trois,0.873,0.577,0.561,0.562,0.558,0.505,0.141,0.104
président,0.551,0.892,0.976,0.992,0.993,0.905,0.837,0.782
autre,0.669,0.943,0.848,0.798,0.922,0.906,0.865,0.881
mois,0.319,0.282,0.143,0.4,0.744,0.889,0.883,0.926
francs,0.541,0.507,0.346,0.725,0.869,0.939,0.937,0.881
rue,0.661,0.765,0.715,0.909,0.984,0.967,0.863,0.881
prix,0.331,0.707,0.263,0.378,0.59,0.493,0.678,0.764
monde,0.757,0.864,0.873,0.993,0.989,0.906,0.693,0.714
peu,0.873,0.697,0.683,0.323,0.621,0.504,0.573,0.586
france,0.762,0.804,0.877,0.762,0.723,0.6,0.621,0.881
sera,0.024,0.021,0.035,0.047,0.085,0.057,0.0,0.129
fin,0.181,0.371,0.259,0.74,0.907,0.826,0.902,0.446
temps,0.765,0.972,0.962,0.827,0.926,0.742,0.829,0.667
u,0.0,0.514,0.55,0.828,0.894,0.932,0.905,0.808
lausanne,0.666,0.83,0.719,0.71,0.894,0.89,0.65,0.881
notre,0.569,0.911,0.879,0.949,0.834,0.742,0.811,0.881
moins,0.116,0.054,0.139,0.024,0.038,0.378,0.449,0.548
vous,0.43,0.507,0.147,0.05,0.016,0.0,0.033,0.217
année,0.571,0.861,0.974,0.968,0.996,0.99,0.829,0.814
sous,0.551,0.923,0.976,0.992,0.999,0.951,0.946,0.881
grand,0.775,0.899,0.999,0.993,0.969,0.972,0.978,0.881
peut,0.111,0.094,0.588,0.797,0.815,0.853,0.485,0.561
etat,0.551,0.86,0.979,0.992,0.902,0.532,0.598,0.667
politique,0.873,0.944,0.9,0.988,0.993,0.989,0.881,0.664
premier,0.873,0.972,0.958,0.942,0.838,0.914,0.964,0.881
part,0.669,0.948,0.911,0.733,0.924,0.825,0.556,0.636
non,0.529,0.814,0.495,0.775,0.717,0.823,0.901,0.927
dernier,0.625,0.89,0.909,0.829,0.721,0.364,0.819,0.552
avoir,0.765,0.972,0.974,0.992,0.945,0.941,0.934,0.881
fois,0.873,0.821,0.928,0.817,0.523,0.392,0.515,0.766
gouvernement,0.113,0.18,0.254,0.122,0.326,0.326,0.499,0.881
alors,0.873,0.894,0.864,0.921,0.945,0.835,0.967,0.766
dimanche,0.175,0.226,0.174,0.249,0.451,0.707,0.906,0.881
soit,0.873,0.972,0.987,0.979,0.773,0.695,0.761,0.85
tél,0.176,0.596,0.721,0.863,0.977,0.921,0.887,0.563
